Internal_ID;Short_title;Article_code;EAN;SKU;NL_Geschikt_voor;NL_Resolutie;NL_Helderheid;NL_Contrast;NL_Projectieverhouding_Throw_Ratio;NL_Projectietechnologie;NL_Branduren_gemiddeld;NL_Keystone_Opties;NL_Smart_functies;NL_Beeldverhouding_Aspect_Ratio;NL_Connectiviteit;NL_Input_Lag;NL_Geluidsniveau;NL_WIFI;NL_Afmetingen;NL_Minimale_Schermgrootte_Diagonaal;NL_Maximale_Schermgrootte_Diagonaal;NL_Gewicht;NL_Garantie;NL_plus;NL_min
163578550;"ViewSonic LS921WU - Full HD - 6000 lumen - Short Throw ";;766907008739;000000000005140509;"Grote Zalen en Evenementen";"1920 x 1080 FULL HD";"6000 ANSI Lumen";"3.000.000:1 ";"0.81 – 0.89 : 1";DLP;20.000;"±40° horizontaal / ±40° verticaal";"Nee (middels Dongle of Chromecast)";"16:9 - 16:10";"2× HDMI 2.0b (HDCP 2.2), HDBaseT, VGA-ingang, VGA-uitgang, Composite Video, S-Video, USB-A, RJ-45 (LAN), RS-232, 3,5 mm audio-ingang, RCA audio-ingang (L/R), 3,5 mm audio-uitgang, 12V Trigger, 3D VESA Sync";"16 ms";"30 dB";"Nee (middels Dongle of Chromecast)";"40x13x14 cm";"70 inch";"200 inch";"6,5 Kg";"24 Maanden";"HDBaseT voor professionele AV-installaties";"2x 10W speakers laten te wensen over"
163604694;"AWOL Vision Aetherion Pro - 4K UHD - 2600 lumen - Ultra Short Throw";;0850076971045;"AETHERION PRO";"Home Cinema & Gamen";"3840 x 2160    4K UHD";"2600 ANSI Lumen";"6.000:1 ";"0.20 : 1";Laser;30.000;"Auto Keystone & Scherpstellen ";Ja;16:9;;"1 ms";"27 dB";Ja;"562 × 323 × 139,5 mm";"70 inch";"250 inch";"8,7 Kg";"36 Maanden";"4K gaming met HDMI 2.1, VRR en ALLM en Input lag vanaf 1 ms";"Geen HDMI kabel meegeleverd"
163606479;"Optoma Photon Life PK31 – 4K UHD – 900 ANSI lumen – LED Projector - Retourdeal!";11897414;5055387668966;11897414;"Home Cinema en onderweg";"3840 x 2160    4K UHD";"900 ANSI Lumen";2.500.000:1;1,5–1,65:1;"DLP® met RGB LED";"30.000 uur";"Horizontaal & verticaal (±40°), handmatige zoom (1.1x)";"Nee (externe media via HDMI/USB)";16:9;"HDMI, USB, 3,5 mm audio-uitgang";N.v.t;32dB;"Nee (wel extern via dongle)";"24x22x12 cm";"70 inch";"200 inch";2,2Kg;"24 Maanden";;"Geen ingebouwd smart platform (apps alleen via externe bron)"
163717975;"XGIMI MIRA - 4K UHD - 2000 ISO Lumen - Ultra Short Throw";;6935670515186;XP03C;"Home Cinema & Smart TV";"3840 x 2160    4K UHD";"2000 ISO Lumen";"20.000:1 (DBLE On)";"0.175:1 Ultra Short Throw";"DLP RGB Triple Laser";30.000;"Automatische keystone-correctie (ISA 5.0 voor UST)";"Google TV & Google Cast";16:9;"3× HDMI (waarvan 1× eARC), 2× USB, LAN, Optical Out, Audio Out";"1 ms bij 1080p @ 240 Hz - Ca. 16 ms bij 4K @ 60 Hz in Game Mode";"27 dB";"Ja, WiFi 6";"464 × 122 × 268 mm";"80 inch";"120 inch";"4,8 kg";"24 Maanden";"Ideaal voor films, sport en gaming als grootformaat TV-vervanger";"Geen HDMI kabel meegeleverd"
163751347;"XGIMI Elfin Flip 4K - 1600 ISO Lumen - Triple Laser";;6935670514905;XM03U;"Home Cinema & Onderweg";"3840 x 2160    4K UHD";"1600 ISO Lumen";"20.000:1 ";"0.98:1 – 1.30:1";"Triple Laser";30.000;"Auto Keystone & Scherpstellen ";"Ingebouwde mediaspeler en apps";"16:9 - 16:10";"HDMI 2.1 (eARC) ×1, HDMI 2.1 ×1, USB 2.0 ×2, 3.5 mm Audio Out, DC-IN";"1 ms";"28 dB";Ja;"254 × 245 × 78 mm";"70 inch";"180 inch";"1,55 Kg";"24 Maanden";"Harman Kardon-speaker met Dolby Audio";"Geen Accu"
163762454;"Optoma ZK451 – 4K UHD – 4500 lumen – Laser Projector";;5055387669673;13239425;"Kantoor, School en Thuis";"3840 x 2160    4K UHD";"4500 ANSI Lumen";"300.000:1 ";"1.40 – 2.24:1";Laser;30.000;"Horizontaal ±30°, Verticaal ±30°";"Nee (middels Dongle of Chromecast)";"16:9 - 16:10";"HDMI 2.0 ×1, HDMI 2.0 (eARC) ×1, USB-A (Power 1.5A) ×2, Audio Out (3.5 mm), RJ45, RS232, 12V Trigger, 3D Sync";"4 ms";"28 dB";Ja;"274 × 216 × 114 mm";"70 inch";"200 inch";"2,9 Kg";"24 Maanden";"15 Watt ingebouwde speaker";"Geen HDMI kabel meegeleverd"
163762600;"Optoma ZH361 - Full HD - 4000 lumen - Laser Projector ";;5055387600591;13230983;"Kantoor & School";"1280 x 800 WXGA";"4000 ANSI Lumen";"2.000.000:1 ";"1.54:1 ~ 1.72:1";Laser;30.000;"1.1x zoom, automatische verticale keystone";⛔;16:10;"Inputs 2 x HDMI 1.4a 3D support. Outputs 1 x Audio 3.5mm, 1 x USB-A power 1.5A. Control 1 x RS232.";"4,2 ms";31dB;"Nee (middels dongle)";"27x22x11 cm";"70 inch";"200 inch";4,2Kg;"24 Maanden";"Laser lichtbron met lange levensduur (20.000 uur)";"Geen dongle meegeleverd"
163762978;"Optoma ZK521ST – 4K UHD – 5000 lumen – Short Throw ";;5055387669697;13239421;"Home Cinema & Zakelijk";"3840 x 2160    4K UHD";"5000 ANSI Lumen";"2.000.000:1 ";0.79:1;Laser;30.000;"Horizontaal ±15°, Verticaal ±15°";"Nee (middels Dongle of Chromecast)";"16:9 - 16:10";"HDMI 2.0 ×2, VGA In, USB-A 2.0 ×2 (Power), Audio Out (3.5 mm), RJ45, RS232, 12V Trigger, 3D Sync Out";"4K 60Hz  -16,7 ms, bij 1080p 120Hz - 8,6 ms.";"30 dB";Ja;"274 × 216 × 114 mm";"70 inch";"300 inch";"3,0 Kg";"36 Maanden";"Ideaal voor golfsimulators, presentaties en home cinema";"Geen HDMI kabel meegeleverd"
163763400;"Optoma ZK431ST – 4K UHD – 4100 lumen – Short Throw ";;5055387669680;13200095;"Home Cinema & Zakelijk";"3840 x 2160    4K UHD";"4100 ANSI Lumen";"2.000.000:1 ";0.496:1;laser;30.000;"Horizontaal ±15°, Verticaal ±15°";"Nee (middels Dongle of Chromecast)";"16:9 - 16:10";"HDMI 2.0 ×2, HDMI 2.0 (eARC) ×1, VGA In, USB-A (Power) ×2, Audio Out (3.5 mm), RJ45, RS232, 12V Trigger, 3D Sync Out";"8,6 ms";30dB;"Nee (middels Dongle of Chromecast)";"274 × 216 × 114 mm";"70 inch";"200 inch";"2,9 Kg";"36 Maanden";" Four Corner Correction";"Geen HDMI kabel meegeleverd"
163763547;"Optoma ZH521ST – Full HD – 5000 lumen – Short Throw ";;5055387669666;13231659;"Home Cinema & Zakelijk";"1920 x 1080 FULL HD";"5000 ANSI Lumen";"2.000.000:1 ";0.79:1;Laser;30.000;"Horizontaal ±15°, Verticaal ±15°";"Nee (middels Dongle of Chromecast)";"16:9 - 16:10";"HDMI 2.0 ×2, VGA In, USB-A 2.0 ×2 (Power), Audio Out (3.5 mm), RJ45, RS232, 12V Trigger, 3D Sync Out";"4K 60Hz  -16,7 ms, bij 1080p 120Hz - 8,6 ms.";"30 dB";Ja;"274 × 216 × 114 mm";"70 inch";"300 inch";"3,0 Kg";"36 Maanden";"Ideaal voor golfsimulators, presentaties en home cinema";"Geen HDMI kabel meegeleverd"
